topicName,topicID,focusValue,parentName,parentID
「根话题」,19776749,91376,None,None
「未归类」话题,19776751,51558,「根话题」,19776749
学科,19618774,19066,「根话题」,19776749
实体,19778287,9896,「根话题」,19776749
「形而上」话题,19778298,36971,「根话题」,19776749
产业,19560891,9080,「根话题」,19776749
生活、艺术、文化与活动,19778317,96059,「根话题」,19776749
Marshall ShredMaster,20010846,3,「未归类」话题,19776751
税收征管,19933080,142,「未归类」话题,19776751
SET 协议,20058833,3,「未归类」话题,19776751
电话轰炸,20058841,24,「未归类」话题,19776751
空薰,19961869,None,「未归类」话题,19776751
FDTD,20078505,10,「未归类」话题,19776751
归来的奥特曼,20071211,19,「未归类」话题,19776751
营业状况,19961880,12,「未归类」话题,19776751
生育力,20053074,9,「未归类」话题,19776751
宝宝睡眠倒退,20086490,None,「未归类」话题,19776751
作词,19599380,1608,「未归类」话题,19776751
追爱,19959219,17,「未归类」话题,19776751
中冶置业,20058915,5,「未归类」话题,19776751
文华财经,19685673,115,「未归类」话题,19776751
主妇创业路,19965874,31,「未归类」话题,19776751
商业搜索,19961964,14,「未归类」话题,19776751
阿拉伯伊斯兰美国峰会,20082456,2,「未归类」话题,19776751
DFKI,20004604,5,「未归类」话题,19776751
产培生,20058958,5,「未归类」话题,19776751
技术VC,20082465,2,「未归类」话题,19776751
Finance and Enterprise Computing,19986498,4,「未归类」话题,19776751
楚乔,20086283,1,「未归类」话题,19776751
Bossa nova,19638209,496,音乐类型和流派,19640653
Bossa nova,19638209,496,爵士乐（Jazz）,19551701
马来西亚航空 370 号班机空难,19962010,13510,新闻事件,19800200
马来西亚航空 370 号班机空难,19962010,13510,马来西亚航空,19904480
马来西亚航空 370 号班机空难,19962010,13510,空难,19604791
公益筹款,19962013,55,「未归类」话题,19776751
铁公鸡,20086285,None,「未归类」话题,19776751
CVTE,19888207,546,「未归类」话题,19776751
行政协议,19962026,5,「未归类」话题,19776751
程序公正,19962027,17,「未归类」话题,19776751
孕妇写真,19962037,46,「未归类」话题,19776751
电线电缆行业投资分析报告,19902346,140,「未归类」话题,19776751
分手,20011085,62649,恋爱,19564412
wearable,19962060,2,「未归类」话题,19776751
约翰·马尔科维奇,20052631,2,「未归类」话题,19776751
日本间谍,20082550,4,「未归类」话题,19776751
反民谣,20035133,45,「未归类」话题,19776751
奶制品,19623966,705,牛奶,19577461
奶制品,19623966,705,食材,19668535
卡路里,19623975,865,「未归类」话题,19776751
本地生活服务,19624440,824,O2O,19612220
大学毕业生看书,20011140,74,「未归类」话题,19776751
磕,20086300,None,「未归类」话题,19776751
惊了个呆,20082601,None,「未归类」话题,19776751
学生干部,19868032,206,「未归类」话题,19776751
EOS 5D Mark II,19596865,276,Canon EOS,19653577
AppExtension,20011162,2,「未归类」话题,19776751
美食 app 欧美文化,20082623,10,「未归类」话题,19776751
190,20011169,10,「未归类」话题,19776751
爱游泳,20082631,1,「未归类」话题,19776751
topic model,19912871,67,「未归类」话题,19776751
新闻源,20059120,6,「未归类」话题,19776751
申音,19794961,25,「未归类」话题,19776751
三皈依,20066973,1,「未归类」话题,19776751
按钮,19575089,35,「未归类」话题,19776751
帽子（标签）,20035236,21,「未归类」话题,19776751
气凝胶,20035255,91,「未归类」话题,19776751
驱蛇器,19962206,7,「未归类」话题,19776751
GoogleAdmob,20035280,9,「未归类」话题,19776751
易知难,19624080,171,「未归类」话题,19776751
杂志社招聘,19673225,202,「未归类」话题,19776751
男女对唱（duet）,20082689,3,「未归类」话题,19776751
反社会,19673231,633,「未归类」话题,19776751
独立旅行,19998531,44,「未归类」话题,19776751
吃相,19839137,87,「未归类」话题,19776751
Hackathon,19550625,1191,「未归类」话题,19776751
市集,19823660,35,「未归类」话题,19776751
Shanghai Major,20042237,8,「未归类」话题,19776751
水煎包,20059209,10,「未归类」话题,19776751
矿物加工,19863870,166,「未归类」话题,19776751
MEMC,20082741,1,「未归类」话题,19776751
绑定域名,19962278,2,「未归类」话题,19776751
400电话,19673304,52,「未归类」话题,19776751
novotel,20082752,None,「未归类」话题,19776751
爱采图,19673318,10,「未归类」话题,19776751
遗作,19575235,12,「未归类」话题,19776751
坏先生图片志（微信公众账号）,19814520,64,「未归类」话题,19776751
舶来词,19676924,10,「未归类」话题,19776751
巴利语,20035391,39,「未归类」话题,19776751
后电商时代,20011363,12,「未归类」话题,19776751
客观事实,19962318,47,「未归类」话题,19776751
索尼水军,20082787,2,「未归类」话题,19776751
元认知,19701410,944,「未归类」话题,19776751
知识分享,19722338,126,「未归类」话题,19776751
A 和 B 的比较,19550751,1185,「标签」类话题,19608037
消费纠纷,19863976,18,「未归类」话题,19776751
防蛀,20035439,5,「未归类」话题,19776751
Android 特效,19575295,34,「未归类」话题,19776751
洪榛浩,20046631,67,「未归类」话题,19776751
水生态,20059328,8,「未归类」话题,19776751
Agda,20082824,2,「未归类」话题,19776751
超写实,19864002,287,「未归类」话题,19776751
应用收入分成,19962385,5,「未归类」话题,19776751
陕西省省考,19962387,260,「未归类」话题,19776751
LSM (Log Structured Merge),20035475,57,「未归类」话题,19776751
知识框架,19667000,133,「未归类」话题,19776751
女神联盟,19864027,276,「未归类」话题,19776751
索达吉堪布,20051640,17,「未归类」话题,19776751
钳子,19888600,5,「未归类」话题,19776751
跑步环境,20011439,481,「未归类」话题,19776751
智器,19814638,16,「未归类」话题,19776751
推推,19589551,3,「未归类」话题,19776751
米其林餐厅,19673440,6276,餐厅,19551158
米其林餐厅,19673440,6276,饮食文化,19594045
高中新生,19656493,63,「未归类」话题,19776751
字如其人,19624292,315,「未归类」话题,19776751
登山杖,19673454,115,「未归类」话题,19776751
投机倒把罪,20067033,6,「未归类」话题,19776751
KOL,20035539,176,「未归类」话题,19776751
草帽海贼团,20082921,3,「未归类」话题,19776751
500强,19624325,608,「未归类」话题,19776751
斋月活动,20082942,5,「未归类」话题,19776751
小农意识,19998887,104,「未归类」话题,19776751
民族迁徙,20011524,24,「未归类」话题,19776751
自以为是,19648998,366,「未归类」话题,19776751
十常侍,20082970,None,「未归类」话题,19776751
酒店运营,19864129,111,「未归类」话题,19776751
祖茂,20082975,None,「未归类」话题,19776751
IFD,20059476,None,「未归类」话题,19776751
看不见的城市,20035604,124,「未归类」话题,19776751
钢琴维修,20035610,93,「未归类」话题,19776751
能源价格,20035622,23,「未归类」话题,19776751
月亮小组,19649064,65,「未归类」话题,19776751
葵花宝典,19768491,68,「未归类」话题,19776751
man,19606582,46,「未归类」话题,19776751
网络营销外包,19962580,57,「未归类」话题,19776751
构想,19575524,89,「未归类」话题,19776751
面点添加剂,19965984,8,「未归类」话题,19776751
验车,19600030,59,「未归类」话题,19776751
神经性痉挛,19962607,14,「未归类」话题,19776751
あの晴れわたる空より高く,20011650,117,「未归类」话题,19776751
领料,19551019,175,「未归类」话题,19776751
Nat King Colo,20059585,4,「未归类」话题,19776751
分业监管,19962649,2,「未归类」话题,19776751
纳米银离子,20035718,5,「未归类」话题,19776751
performance,19624510,21,「未归类」话题,19776751
丝绸之路好声音,20011691,None,「未归类」话题,19776751
PinaoTiles,20002067,None,「未归类」话题,19776751
废萌,20062457,9,「未归类」话题,19776751
拆迁办,20083125,4,「未归类」话题,19776751
绿皮车,20003800,31,「未归类」话题,19776751
十大关系,20025554,11,「未归类」话题,19776751
windows蓝屏,20083133,None,「未归类」话题,19776751
辣鸡营销,20084953,None,「未归类」话题,19776751
笔记本评测,20083142,2,「未归类」话题,19776751
汉字字母,19962712,5,「未归类」话题,19776751
成人内容,20035783,493979,「标签」类话题,19608037
女初中生,20082457,3,「未归类」话题,19776751
歌曲名字,19962729,6,「未归类」话题,19776751
饕餮盛宴,20046335,1,「未归类」话题,19776751
各国见闻,19814928,121,「未归类」话题,19776751
香港读研,19649231,2815,「未归类」话题,19776751
大家,19795536,23,「未归类」话题,19776751
谜题,19624590,63,「未归类」话题,19776751
12factor,20054176,None,「未归类」话题,19776751
坐台,20062961,12,「未归类」话题,19776751
滑板车,19888957,192,「未归类」话题,19776751
表单,19584668,70,「未归类」话题,19776751
军事对峙,20086401,4,「未归类」话题,19776751
澳大利亚大一快捷课程(Diploma),20083207,2,「未归类」话题,19776751
牛津高阶双解,20059719,1,「未归类」话题,19776751
电脑进水,19649266,75,「未归类」话题,19776751
美丽志,19839677,16,「未归类」话题,19776751
诋毁,20035863,25,「未归类」话题,19776751
烟大海底隧道,20011818,136,大连,19567741
烟大海底隧道,20011818,136,隧道,19602583
烟大海底隧道,20011818,136,烟台,19798323
烟大海底隧道,20011818,136,海底隧道,19683992
马主,20083255,None,「未归类」话题,19776751
ECFA,19962827,9,「未归类」话题,19776751
故居,19551228,4,「未归类」话题,19776751
短物流,19575751,37,「未归类」话题,19776751
光电工程师,19600240,341,「未归类」话题,19776751
刚体,19815052,33,「未归类」话题,19776751
激光刻字,19839737,31,「未归类」话题,19776751
Assistive Touch,20011872,3,「未归类」话题,19776751
天津自贸区,20035920,57,「未归类」话题,19776751
乔治·奥威尔（作家）,19575777,995,英国作家,19611538
绿健园锌硒宝,19962874,6,「未归类」话题,19776751
垂直马拉松,20083323,1,「未归类」话题,19776751
飙戏,20084962,None,「未归类」话题,19776751
汽车服务定制,19962895,11,「未归类」话题,19776751
井水,19675945,12,「未归类」话题,19776751
IT营销,19795708,63,「未归类」话题,19776751
即时搜索,19600301,13,「未归类」话题,19776751
Geekcook,19649385,11,「未归类」话题,19776751
成功的条件,19600306,114,「未归类」话题,19776751
专柜,19673910,50,「未归类」话题,19776751
餐具安全,19889134,77,「未归类」话题,19776751
GNS3,20011940,39,「未归类」话题,19776751
教育xin,20083383,None,「未归类」话题,19776751
雅礼,20083040,16,「未归类」话题,19776751
社会达尔文主义,20036009,974,「未归类」话题,19776751
千斗五十铃,20011965,6,「未归类」话题,19776751
品水,20059898,2,「未归类」话题,19776751
起泡水,20059899,None,「未归类」话题,19776751
传统车企,20082490,None,「未归类」话题,19776751
分享精神,19815164,33,「未归类」话题,19776751
师德丧失,20059906,4,「未归类」话题,19776751
消费数码,20011991,9,「未归类」话题,19776751
奇异值分解,19940797,131,「未归类」话题,19776751
儿化音,19575895,73,「未归类」话题,19776751
沙滩,19570217,65,「未归类」话题,19776751
乳滑 微博 封号 玻璃心 小粉红,20083445,13,「未归类」话题,19776751
朱雨玲,20083463,6,「未归类」话题,19776751
脸颊凹陷,19963018,58,「未归类」话题,19776751
安妮斯顿,20083469,1,「未归类」话题,19776751
信息泄露 隐私 个人信息,20059955,21,「未归类」话题,19776751
解体论,20036093,33,「未归类」话题,19776751
动态视力,20059976,37,「未归类」话题,19776751
夏语遥,20011230,5,「未归类」话题,19776751
嚼烟,20059992,16,「未归类」话题,19776751
江民,19575963,123,「未归类」话题,19776751
私货贩卖,20048583,4,「未归类」话题,19776751
光反射,20030421,24,「未归类」话题,19776751
ULED,19968514,10,「未归类」话题,19776751
人人网陈一舟,20012074,5,「未归类」话题,19776751
阻尼指数,20060017,7,「未归类」话题,19776751
爱国歌曲,20083553,1,「未归类」话题,19776751
世界和平,19896635,86,「未归类」话题,19776751
HKPFS（香港博士研究生奖学金计划）,20083563,14,「未归类」话题,19776751
忏悔,19723071,115,「未归类」话题,19776751
拍摄手法,19938414,154,「未归类」话题,19776751
皮肤细胞,20060046,26,「未归类」话题,19776751
起诉,19566775,81,「未归类」话题,19776751
湖南师大附中(长沙),20036211,32,「未归类」话题,19776751
真爱如血,19674112,236,「未归类」话题,19776751
心境,19681194,217,「未归类」话题,19776751
栖霞,20060060,5,「未归类」话题,19776751
学习理论,20083599,2,「未归类」话题,19776751
校友录,19576042,7,「未归类」话题,19776751
探索式学习,20083608,5,「未归类」话题,19776751
国内网站,19576051,85,「未归类」话题,19776751
新中式风格,19658615,3282,「未归类」话题,19776751
team building,19600566,29,「未归类」话题,19776751
作呕,20083631,None,「未归类」话题,19776751
超级英雄,19576076,21007,美国漫画,19647828
超级英雄,19576076,21007,电影类型,19685500
高龄少子化,20012182,39,「未归类」话题,19776751
OH卡,19963180,32,「未归类」话题,19776751
电动剃须刀,19723137,401,小家电,19624056
电动剃须刀,19723137,401,剃须刀,19643536
美利金融,20036289,76,「未归类」话题,19776751
电汇,19649669,10,「未归类」话题,19776751
生儿育女,19576121,46,「未归类」话题,19776751
校验码,19815419,9,「未归类」话题,19776751
上海买房,20083684,35,「未归类」话题,19776751
中国印钞造币,20060180,11,「未归类」话题,19776751
怪蜀黍,19576135,18,「未归类」话题,19776751
浮动,19649695,1,「未归类」话题,19776751
微信登录,19913941,50,「未归类」话题,19776751
矩阵论,20036331,190,「未归类」话题,19776751
krpano,20060197,30,「未归类」话题,19776751
UTS: INSREACH,20083700,1,「未归类」话题,19776751
斗牛,19625090,91,「未归类」话题,19776751
亲子游,19818416,658,「未归类」话题,19776751
收拾,19674239,160,「未归类」话题,19776751
跨境贸易,19963266,290,「未归类」话题,19776751
服装打版,19963268,1031,「未归类」话题,19776751
減壓方法,19913974,71,「未归类」话题,19776751
汽配平台,19870531,73,「未归类」话题,19776751
婚后,19600679,844,「未归类」话题,19776751
物体识别,19617234,117,「未归类」话题,19776751
社会公德,19772270,98,「未归类」话题,19776751
查干湖,19963288,14,「未归类」话题,19776751
eyezmaze,20083738,None,「未归类」话题,19776751
淳于髡,20075246,1,「未归类」话题,19776751
DoNews,19625134,54,「未归类」话题,19776751
修身,19625141,868,「未归类」话题,19776751
语境,19595556,42,「未归类」话题,19776751
夏俊峰杀人案,19889521,25,「未归类」话题,19776751
Linux API,20036408,79,「未归类」话题,19776751
思考圣经,19796143,298,「未归类」话题,19776751
徐婷,20060276,11,「未归类」话题,19776751
广相,20083768,None,「未归类」话题,19776751
LakeBTC,19963336,3,「未归类」话题,19776751
程序员资源,19603572,566,「未归类」话题,19776751
让世界围着你转,20059929,None,「未归类」话题,19776751
合规审计,20079239,25,「未归类」话题,19776751
内部竞争,19625184,12,「未归类」话题,19776751
助力服,20060306,6,「未归类」话题,19776751
审批制度,19646652,27,「未归类」话题,19776751
海斯曼,19963367,None,「未归类」话题,19776751
飘柔,20012376,3,「未归类」话题,19776751
轴承加热器,19963378,14,「未归类」话题,19776751
路况导航,19796205,12,「未归类」话题,19776751
贫富差异,20083824,None,「未归类」话题,19776751
网站规划,19625223,12,「未归类」话题,19776751
消失,19840258,59,「未归类」话题,19776751
轮滑,19611768,5479,「未归类」话题,19776751
Sleep cycle,20036490,80,「未归类」话题,19776751
区划沿革,20059057,9,「未归类」话题,19776751
四年制,20036509,2,「未归类」话题,19776751
仇恨,19674398,406,「未归类」话题,19776751
Nesna University College,20083851,None,「未归类」话题,19776751
Penny Dreadful,20002853,64,「未归类」话题,19776751
心底善良,20083857,1,「未归类」话题,19776751
吉芬商品,19938733,44,「未归类」话题,19776751
书籍理解,19796261,96,「未归类」话题,19776751
里斯本大学学院,20083862,None,「未归类」话题,19776751
娱乐人物,20060389,3,「未归类」话题,19776751
伯乐人才,19963449,23,「未归类」话题,19776751
模式识别,20012454,16981,人工智能,19551275
模式识别,20012454,16981,识别技术,19573024
英语惯用法,20060404,22,「未归类」话题,19776751
Design Forward（书）,19796281,15,「未归类」话题,19776751
八国语言,20064793,5,「未归类」话题,19776751
超光速粒子,19649894,149,「未归类」话题,19776751
中国移动电视产业,19998742,5,「未归类」话题,19776751
建筑学老八校,20036551,281,「未归类」话题,19776751
数据来源,19625317,184,「未归类」话题,19776751
智能算法,20036563,194,「未归类」话题,19776751
月球车,19889681,8,「未归类」话题,19776751
